"article","category","ordinal"
"review-insurance-for-your-home-and-possessions-on-separation","divorce-and-separation",43
"your-financial-position-in-a-new-relationship","divorce-and-separation",44
"changes-that-may-affect-maintenance-payments","divorce-and-separation",45
"how-much-child-maintenance-should-i-pay","divorce-and-separation",46
"entitlements-from-work-when-pregnant","having-a-baby",1
"managing-family-finances-when-youve-had-a-baby","having-a-baby",2
"cutting-costs-when-you-have-a-baby-top-tips-for-parents","having-a-baby",3
"baby-costs-calculator","having-a-baby",4
"benefits-you-can-claim-when-youre-pregnant","having-a-baby",5
"you-your-kids-and-money","having-a-baby",6
"tax-credits-and-other-help-with-childcare-costs","having-a-baby",7
"baby-money-timeline","having-a-baby",8
"cost-of-childcare-calculator","having-a-baby",9
"review-your-insurance-after-having-a-baby","having-a-baby",10
"changes-to-child-benefit-from-2013","having-a-baby",11
"sorting-out-your-money-when-youre-pregnant","having-a-baby",12
"calculate-the-cost-of-a-new-baby","having-a-baby",13
"work-out-the-cost-of-childcare-options","having-a-baby",14
"free-prescriptions-and-nhs-dental-care-in-pregnancy","having-a-baby",15
"new-baby-why-budget","having-a-baby",16
"prepare-for-the-cost-of-having-a-baby","having-a-baby",17
"cut-costs-when-shopping-for-your-baby","having-a-baby",18
"how-a-baby-could-affect-your-finances","having-a-baby",19
"claim-free-medical-care-when-pregnant","having-a-baby",20
"claim-work-entitlements-when-pregnant","having-a-baby",21
"if-your-baby-is-stillborn","having-a-baby",22
"returning-to-study-after-having-a-baby","having-a-baby",23
"what-is-insurance","help-with-insurance",1
"types-of-insurance","help-with-insurance",2
"things-to-watch-out-for-when-buying-insurance","help-with-insurance",3
"how-to-buy-insurance-using-comparison-sites","help-with-insurance",4
"when-to-use-an-insurance-broker","help-with-insurance",5
"making-an-insurance-claim","help-with-insurance",6
"making-a-complaint-about-an-insurance-company","help-with-insurance",7
"sort-out-a-money-problem-make-a-complaint-or-get-compensation","help-with-insurance",8
"the-financial-services-compensation-scheme---quick-guide","help-with-insurance",9
"what-to-do-when-things-go-wrong-payments","help-with-insurance",10
"financial-mis-selling-what-to-do-if-you-think-its-affected-you","help-with-insurance",11
"compensation-if-youve-lost-money-through-mis-selling","help-with-insurance",12
"what-to-do-if-your-insurance-claim-is-rejected","help-with-insurance",13
"how-to-complain-about-an-insurer","help-with-insurance",14
"getting-insurance-if-you-have-a-criminal-conviction","help-with-insurance",15
"personal-loans","help-with-loans",1
"the-financial-services-compensation-scheme---quick-guide","help-with-loans",2
"second-charge-or-second-mortgages","help-with-loans",3
"payday-loans","help-with-loans",4
"credit-brokers-and-payday-loans","help-with-loans",5
"alternatives-to-payday-loans","help-with-loans",6
"what-to-do-if-you-have-been-refused-a-loan-or-credit-card","help-with-loans",7
"loan-calculator","help-with-loans",8
"budgeting-loans-from-the-social-fund","help-with-loans",9
"credit-unions","help-with-loans",10
"how-to-spot-a-loan-shark","help-with-loans",11
"pawnbrokers-how-they-work","help-with-loans",12
"home-credit-or-doorstep-lending","help-with-loans",13
"logbook-loans","help-with-loans",14
"problems-paying-back-payday-loans","help-with-loans",15
"payday-loans-what-you-need-to-know","help-with-loans",16
"peer-to-peer-loans","help-with-loans",17
"debt-consolidation-loans","help-with-loans",18
"mortgages-a-beginners-guide","help-with-mortgages",1
"how-to-choose-the-right-mortgage","help-with-mortgages",2
"mortgage-affordability-calculator","help-with-mortgages",3
"mortgage-arrears-if-you-have-problems-paying-your-mortgage","help-with-mortgages",4
"how-to-get-a-mortgage-if-you-have-a-small-deposit","help-with-mortgages",5
"work-out-what-mortgage-you-can-afford","help-with-mortgages",6
"choosing-a-mortgage-shop-around-or-get-advice","help-with-mortgages",8
"why-it-pays-to-review-your-mortgage-regularly","help-with-mortgages",9
"mortgage-calculator","help-with-mortgages",10
"government-help-if-you-cant-pay-your-mortgage","help-with-mortgages",11
"remortgaging-to-cut-costs","help-with-mortgages",12
"increasing-your-mortgage-getting-a-further-advance","help-with-mortgages",14
"should-you-pay-off-your-mortgage-early","help-with-mortgages",15
"mortgage-payment-holidays","help-with-mortgages",16
"work-out-if-it-pays-to-remortgage","help-with-mortgages",17
"ways-of-repaying-an-interest-only-mortgage","help-with-mortgages",18
"next-steps-if-you-cant-get-a-mortgage","help-with-mortgages",19
"make-an-interest-only-repayment-scheme","help-with-mortgages",20
"keyfacts-documents-explaining-your-mortgage","help-with-mortgages",21
"what-to-do-if-youve-been-threatened-with-repossession","help-with-mortgages",22
"what-to-do-when-things-go-wrong-payments","help-with-mortgages",23
"financial-mis-selling-what-to-do-if-you-think-its-affected-you","help-with-mortgages",24
"mis-sold-endowment-mortgages","help-with-mortgages",25
"your-mortgage-comparison-checklist","help-with-mortgages",26
"should-you-overpay-your-mortgage","help-with-mortgages",27
"tips-if-youre-struggling-to-get-a-mortgage","help-with-mortgages",28
"mortgage-repayment-options","help-with-mortgages",29
"mortgage-interest-rate-options","help-with-mortgages",30
"mortgage-related-fees-and-costs-at-a-glance","help-with-mortgages",31
"mortgage-special-features","help-with-mortgages",32
"insurance-sold-with-mortgages-shop-around-first","help-with-mortgages",33
"dealing-with-an-endowment-shortfall","help-with-mortgages",34
"cut-back-calculator","help-with-mortgages",35
"compensation-if-youve-lost-money-through-mis-selling","help-with-mortgages",36
"the-financial-services-compensation-scheme---quick-guide","help-with-mortgages",37
"make-sure-youre-getting-the-right-entitlements","help-with-your-benefits",1
"benefit-changes-in-2013","help-with-your-benefits",2
"universal-credit-timeline","help-with-your-benefits",3
"where-to-get-help-and-advice-about-benefits","help-with-your-benefits",4
"benefit-sanctions-and-what-to-do-about-them","help-with-your-benefits",5
"what-to-do-if-your-benefits-are-cut","help-with-your-benefits",6
"support-while-waiting-for-benefit-payments","help-with-your-benefits",7
"the-benefit-cap","help-with-your-benefits",8
"personal-independence-payment-an-introduction","help-with-your-benefits",9
"find-out-what-benefits-you-qualify-for","help-with-your-benefits",10
"cuts-to-housing-benefit-for-social-housing-tenants","help-with-your-benefits",11
"do-you-need-buildings-insurance","home-insurance",2
"buildings-insurance-how-much-cover-do-you-need","home-insurance",3
"buildings-insurance-what-does-a-good-policy-look-like","home-insurance",4
"do-you-need-contents-insurance","home-insurance",5
"contents-insurance-for-students-and-those-in-shared-accommodation","home-insurance",6
"contents-insurance-get-the-right-policy-and-cover","home-insurance",7
"contents-insurance-what-does-good-look-like","home-insurance",8
"home-insurance-how-to-get-the-best-deal","home-insurance",9
"flood-insurance-getting-the-right-cover","home-insurance",10
"do-you-need-mobile-phone-insurance","home-insurance",11
"extended-warranties-are-they-worth-it","home-insurance",12
"buildings-insurance","home-insurance",13
"how-to-find-the-right-car-for-your-budget","how-to-buy-a-car",1
"car-finance-explained","how-to-buy-a-car",2
"making-sure-you-can-meet-your-car-payments","how-to-buy-a-car",3
"car-costs-calculator","how-to-buy-a-car",4
"deciding-how-to-pay-for-a-car","how-to-buy-a-car",5
"buying-a-car-through-a-personal-loan","how-to-buy-a-car",6
"leasing-a-car","how-to-buy-a-car",7
"buying-a-car-through-hire-purchase","how-to-buy-a-car",8
"the-most-reliable-cars-to-own","how-to-buy-a-car",9
"the-safest-cars-to-drive","how-to-buy-a-car",10
"car-depreciation-explained","how-to-buy-a-car",11
"car-tax-bands-explained","how-to-buy-a-car",12
"choosing-between-petrol-and-diesel-power","how-to-buy-a-car",13
"alternatives-to-petrol-and-diesel-cars","how-to-buy-a-car",14
"where-to-buy-a-new-car","how-to-buy-a-car",15
"where-to-buy-a-used-car","how-to-buy-a-car",16
"when-to-buy-a-car","how-to-buy-a-car",17
"how-to-negotiate-when-buying-a-car","how-to-buy-a-car",18
"how-to-test-drive-and-check-a-used-car","how-to-buy-a-car",19
"how-to-test-drive-and-check-a-new-car","how-to-buy-a-car",20
"car-warranties","how-to-buy-a-car",21
"saving-money-for-a-car","how-to-buy-a-car",22
"investing-beginners-guide","how-to-invest-money",NULL
"the-financial-services-compensation-scheme---quick-guide","how-to-invest-money",NULL
"get-started-with-investing","how-to-invest-money",NULL
"getting-more-informed-about-investing","how-to-invest-money",NULL
"complete-a-money-fact-find","how-to-invest-money",NULL
"know-your-risk-appetite","how-to-invest-money",NULL
"making-an-investment-plan","how-to-invest-money",NULL
"make-an-investment-plan","how-to-invest-money",NULL
"diversifying-the-smart-way-to-save-and-invest","how-to-invest-money",NULL
"beware-toxic-saving-and-investment-products","how-to-invest-money",NULL
"what-are-pooled-investment-funds","how-to-invest-money",NULL
"how-to-buy-investments","how-to-invest-money",NULL
"understanding-investment-fees","how-to-invest-money",NULL
"key-facts-documents-and-cooling-off-periods-what-you-need-to-know","how-to-invest-money",NULL
"reviewing-your-savings-and-investments","how-to-invest-money",NULL
"assessing-the-performance-of-your-savings-and-investments","how-to-invest-money",NULL
"asset-classes-explained","how-to-invest-money",NULL
"ethical-saving-and-investing","how-to-invest-money",NULL
"top-tips-for-choosing-investments","how-to-invest-money",NULL
"compensation-if-youve-lost-money-through-mis-selling","how-to-invest-money",NULL
"investing-a-lump-sum","how-to-invest-money",NULL
"decide-how-to-invest-a-lump-sum","how-to-invest-money",NULL
"financial-mis-selling-what-to-do-if-you-think-its-affected-you","how-to-invest-money",NULL
"do-you-need-a-financial-adviser","how-to-invest-money",NULL
"endowment-policies","how-to-invest-money",NULL
"investing-in-property","how-to-invest-money",NULL
"what-happens-when-your-with-profits-fund-closes","how-to-invest-money",NULL
"high-risk-investment-products","how-to-invest-money",NULL
"what-to-do-when-things-go-wrong-payments","how-to-invest-money",NULL
"where-to-buy-investments","how-to-invest-money",1
"why-it-pays-to-save-regularly","how-to-save-money",1
"build-an-emergency-savings-fund","how-to-save-money",2
"budget-planner","how-to-save-money",3
"health-check","how-to-save-money",4
"savings-calculator","how-to-save-money",5
"money-stretcher","how-to-save-money",6
"childrens-savings-options","how-to-save-money",7
"should-i-save-or-invest","how-to-save-money",8
"getting-into-the-savings-habit","how-to-save-money",9
"how-to-choose-between-saving-and-borrowing","how-to-save-money",10
"get-the-most-out-of-your-cash-isa","how-to-save-money",11
"make-the-most-of-tax-free-cash-savings","how-to-save-money",12
"set-and-reach-your-savings-goal","how-to-save-money",13
"what-if-you-cant-afford-to-save","how-to-save-money",14
"emergency-savings-how-much-is-enough","how-to-save-money",15
"should-i-save-or-pay-off-debt","how-to-save-money",16
"action-plan-paying-for-your-summer-holiday","how-to-save-money",17
"compound-interest","how-to-save-money",18
"dont-keep-cash-under-the-mattress","how-to-save-money",19
"inflation","how-to-save-money",20
"inflation-what-the-saver-needs-to-know","how-to-save-money",21
"saving-money-to-boost-your-budget","how-to-save-money",22
"saving-money-for-christmas","how-to-save-money",23
"saving-money-for-a-wedding","how-to-save-money",24
"saving-money-for-a-holiday","how-to-save-money",25
"saving-money-for-a-deposit","how-to-save-money",26
"saving-money-for-a-car","how-to-save-money",27
"how-to-set-a-savings-goal","how-to-save-money",28
"how-to-sort-out-your-money-if-you-become-ill-or-disabled","illness-and-disability",1
"support-to-help-you-keep-your-job-when-ill-or-disabled","illness-and-disability",2
"help-to-find-work-if-youre-disabled","illness-and-disability",3
"support-to-help-you-study-when-ill-or-disabled","illness-and-disability",4
"disability-and-sickness-benefits-check-your-entitlements","illness-and-disability",5
"personal-independence-payment-an-introduction","illness-and-disability",6
"universal-credit-for-disabled-people","illness-and-disability",7
"financial-support-if-you-or-your-child-has-a-disability","illness-and-disability",8
"how-to-appeal-against-a-disability-benefits-decision","illness-and-disability",9
"funding-to-adapt-your-home-for-accessibility","illness-and-disability",10
"charitable-grants-for-ill-or-disabled-people","illness-and-disability",11
"shopping-around-for-disability-aids-and-equipment","illness-and-disability",12
"motability-blue-badge-scheme-and-discounted-travel","illness-and-disability",13
"money-saving-tips-and-discounts-for-disabled-people","illness-and-disability",14
"buying-insurance-if-youre-ill-or-disabled","illness-and-disability",15
"getting-a-mortgage-if-youre-ill-or-disabled","illness-and-disability",16
"getting-a-loan-if-you-are-ill-or-disabled","illness-and-disability",17
"early-retirement-because-of-illness-or-disability","illness-and-disability",18
"baby-money-timeline","interactive-timelines",1
"universal-credit-timeline","interactive-timelines",2
"fixed-interest-securities-gilts-and-corporate-bonds","investment-types",NULL
"withdrawable-share-capital","investment-types",NULL
"tracker-funds-index-funds-exchange-traded-funds","investment-types",NULL
"art-fine-wine-and-other-collectibles-as-investments","investment-types",NULL
"spread-betting-and-contracts-for-difference","investment-types",NULL
"hedge-funds","investment-types",NULL
"endowment-policies","investment-types",NULL
"investment-bonds","investment-types",NULL
"ending-your-with-profits-policy-early","investment-types",NULL
"tax-and-qualifying-life-insurance-products","investment-types",NULL
"structured-deposits-and-investment-products","investment-types",NULL
"buy-to-let-property-investments","investment-types",NULL
"stocks-and-shares-isas","investment-types",NULL
"tax-and-property-investment","investment-types",NULL
"indirect-property-investments","investment-types",NULL
"with-profits-funds","investment-types",NULL
"unit-trusts-and-open-ended-investment-companies-oeics","investment-types",NULL
"venture-capital-trusts","investment-types",NULL
"investment-trusts","investment-types",NULL
"popular-investments-at-a-glance","investment-types",NULL
"investing-in-shares","investment-types",NULL
"workplace-investment-schemes","investment-types",NULL
"childrens-bonds","investment-types",1
"tax-relief-on-pension-contributions","jobs-and-tax",NULL
"tax-and-national-insurance-when-youre-self-employed","jobs-and-tax",NULL
"pay-and-tax-when-working-in-more-than-one-job","jobs-and-tax",NULL
"tax-and-national-insurance-deductions","jobs-and-tax",NULL
"income-tax-and-national-insurance","jobs-and-tax",NULL
"understanding-your-first-payslip","jobs-and-tax",NULL
"how-you-get-paid-at-work","jobs-and-tax",NULL
"budgeting-for-your-first-job","jobs-and-tax",NULL
"understanding-your-payslip","jobs-and-tax",NULL
"help-and-advice-when-applying-for-a-job","jobs-and-tax",NULL
"apprenticeships-for-young-people","jobs-and-tax",NULL
"checking-your-employment-contract","jobs-and-tax",NULL
"changing-your-career-following-redundancy","jobs-and-tax",NULL
"thinking-of-starting-up-in-business","jobs-and-tax",NULL
"business-insurance-when-youre-self-employed","jobs-and-tax",NULL
"personal-insurance-when-youre-self-employed","jobs-and-tax",NULL
"age-related-personal-allowances","jobs-and-tax",1
"do-you-need-life-insurance","life-and-protection-insurance",1
"life-insurance-how-and-where-to-buy-it","life-and-protection-insurance",2
"life-insurance-choosing-the-right-policy-and-cover","life-and-protection-insurance",3
"do-you-need-income-protection-insurance","life-and-protection-insurance",4
"what-does-a-good-income-protection-policy-look-like","life-and-protection-insurance",5
"how-and-where-to-buy-income-protection-insurance","life-and-protection-insurance",6
"income-protection-insurance-choose-the-right-policy-and-cover","life-and-protection-insurance",7
"how-to-reclaim-ppi","life-and-protection-insurance",8
"reclaiming-payment-protection-insurance","life-and-protection-insurance",9
"short-term-income-protection-insurance","life-and-protection-insurance",10
"do-you-need-private-medical-insurance","life-and-protection-insurance",11
"how-and-where-to-buy-critical-illness-insurance","life-and-protection-insurance",12
"critical-illness-insurance-choose-the-right-policy-and-cover","life-and-protection-insurance",13
"critical-illness-insurance-do-you-need-it","life-and-protection-insurance",14
"a-good-critical-illness-insurance-policy","life-and-protection-insurance",15
"critical-illness-or-income-protection-insurance","life-and-protection-insurance",16
"work-out-if-you-need-life-insurance-and-get-the-right-cover","life-and-protection-insurance",17
"do-you-need-payment-protection-insurance-ppi","life-and-protection-insurance",19
"do-you-need-dental-insurance","life-and-protection-insurance",20
"whole-of-life-policies","life-and-protection-insurance",21
"why-you-should-make-a-will","making-a-will",1
"make-a-will-to-protect-your-family","making-a-will",2
"writing-a-will-your-options","making-a-will",3
"changing-your-will","making-a-will",4
"what-happens-if-you-dont-leave-a-will","making-a-will",5
"storing-your-will-where-others-can-find-it","making-a-will",6
"will-writing-services-pros-and-cons","making-a-will",7
"talking-to-your-family-about-your-will","making-a-will",8
"planning-what-to-leave-in-your-will","making-a-will",9
"using-a-solicitor-to-write-your-will","making-a-will",10
"diy-wills-what-you-need-to-know","making-a-will",11
"putting-your-affairs-in-order","making-a-will",12
"preparing-for-illness-old-age-and-death","making-a-will",13
"choosing-your-executor","making-a-will",14
"top-five-ways-to-cut-your-inheritance-tax","making-a-will",15
"gifts-and-transfers-exempt-from-inheritance-tax","making-a-will",16
"life-insurance-and-inheritance-tax","making-a-will",17
"will-you-have-to-pay-inheritance-tax","making-a-will",18
"the-tax-benefits-of-giving-to-charity","making-a-will",19
"using-a-trust-to-cut-your-inheritance-tax","making-a-will",20
